Batch size: 256
Timestamp: 2025-09-05T10:57:51.762Z
Account: 0x063db350e4a19fb0cbb4edb7a6f546e28399b19c13eaa4fac304d0a6dbaeda62
Concurrency: 16
FeeToken: ETH  (maxFee buffer 30%)
tx_hash, status, block_number
0x3f267d3080eaa5d55a0a679a3e98aeb5e477f193704998289c3c71fb40ec435, ACCEPTED_ON_L2, 1891481
0x7d47896a331e7060097601097ddb9ad713a81c834c085a453e727514456a7d5, ACCEPTED_ON_L2, 1891482
0x68efd87802e7a8f7c04a203824765cdc860ce140b249d9bc0a35347c85f2683, ACCEPTED_ON_L2, 1891482
0x1188b536890a1f68bb92c78c3590e6370f0828089a7e0f8bc1229cddd7e53a9, ACCEPTED_ON_L2, 1891482
0x3f53729bfb89274155e6456b7183336ba6c2835d39d4aa3c1eb84cf201bcaa7, ACCEPTED_ON_L2, 1891482
0xcf0ca8cb3795003bb84b70582146084fdbcdfa7e1637622bf82c6657f6c7b6, ACCEPTED_ON_L2, 1891482
0x43596654bf11aeecac85c6cef784ff4665b1825b4eb6f9c68075d9458d3a80d, ACCEPTED_ON_L2, 1891483
0x4d39d50335a501161d499c687d09c04b7f4731c04736b1d13c77fda00d2aafa, ACCEPTED_ON_L2, 1891483
0x620bcf7d61d7fad54f529ca06cd8103d1566930021f3f7f3c89f5a791ccf93b, ACCEPTED_ON_L2, 1891483
0xca5904516bbf4cd30928c383757ebc8026b5a94b667a4df6d886035fe0110b, ACCEPTED_ON_L2, 1891483
0x4c313ff71054e369c0f353a4db4cce7c98f170834cf8146aa064fa4a51d6116, ACCEPTED_ON_L2, 1891483
0x4cb1c065213c9b11ebcc8efb022fd020af2661c60261727e43be86db8b12880, ACCEPTED_ON_L2, 1891484
0x66501ff6a3641a236f67308991fcc1e0283dd91abeba0990942cb61b981a537, ACCEPTED_ON_L2, 1891484
0x27cc9d2568a062b6e45d374a28d0609f06c4db5d07b528a9743c189ca9594d9, ACCEPTED_ON_L2, 1891484
0x6f064b6d341207fb029cd385518c1bebd2a9304bdaabe0509ce092ab4aaf6dc, ACCEPTED_ON_L2, 1891484
0x69f0e8293eec82502820105abb51bc7f930ec86bbe75ad376b27a25b797c8d0, ACCEPTED_ON_L2, 1891484
0x171b3732ff04f9444ff19faf5a0a9090bed053d99273da8cb13289f9f3d5412, ACCEPTED_ON_L2, 1891485
0xd685be1b2c22732c31803fac4d677984e4030fde3bf83ce30f2842d8c4c9, ACCEPTED_ON_L2, 1891485
0x2adb51db2add6a75dc68356ee6a27577479ac28dbcfdce24831612a7c143e3d, ACCEPTED_ON_L2, 1891485
0x28dc60889c1285a0b5e6f454f4f01e00d47db05971cc8323fe48f1b27b332a, ACCEPTED_ON_L2, 1891485
0x196c5751e829ba332eccb3e56d0800fd07a6fe876876647afe0511acbc1f239, ACCEPTED_ON_L2, 1891485
0x7b0edf82982e14704f486a6f22d69f0e424f184d23ed1f5c51a7efc15f647af, ACCEPTED_ON_L2, 1891486
0xe0538a7479526372a58577ec263d37fc44505671c53560ecc8cc91f6d80ce5, ACCEPTED_ON_L2, 1891486
0x7ae4bbb4bfd4133ccef11fbb40b98af1948d40420996275106acae497e1378b, ACCEPTED_ON_L2, 1891486
0x465f667ccb31c9377c204541c68bfa45f1460ae0f68c9c97192f21e9174957a, ACCEPTED_ON_L2, 1891486
0x3c601bb0d4beb67d8f314eec106527f4bee740bb9cab006ef18d228be082f0a, ACCEPTED_ON_L2, 1891486
